Ticker,Name,Group,Market Cap,Rev Q1,Net Inc Q1,Margin Q1,Rev Q2,Net Inc Q2,Margin Q2,Δ 1 Month,Δ 3 Month,Δ 6 Month,Δ 1 Year,Q1 Period
META,Meta 메타,Software,$1.61T,$56.31B,$26.77B,47.5%,$59.89B,$22.77B,38.0%,+3.4%,-2.3%,-1.1%,-2.0%,Q ending Mar 2026
TSLA,Tesla 테슬라,Hardware,$1.64T,$22.39B,$0.48B,2.1%,$24.90B,$0.84B,3.4%,+14.2%,+8.3%,+1.3%,+25.8%,Q ending Mar 2026
AAPL,Apple 애플,Hardware,$4.58T,$111.18B,$29.58B,26.6%,$143.76B,$42.10B,29.3%,+15.1%,+18.2%,+10.4%,+56.0%,Q ending Mar 2026
AMZN,Amazon 아마존,Cloud,$2.91T,$181.52B,$30.25B,16.7%,$213.39B,$21.19B,9.9%,+2.1%,+28.9%,+15.7%,+32.0%,Q ending Mar 2026
MSFT,Microsoft 마이크로소프트,Cloud,$3.34T,$82.89B,$31.78B,38.3%,$81.27B,$38.46B,47.3%,+10.7%,+14.9%,-7.1%,-1.4%,Q ending Mar 2026
GOOGL,Alphabet 알파벳,Cloud,$4.61T,$109.90B,$62.58B,56.9%,$113.83B,$34.45B,30.3%,-1.2%,+22.1%,+20.9%,+122.2%,Q ending Mar 2026
ANET,Arista 아리스타,Network,$200.80B,$2.71B,$1.02B,37.8%,$2.49B,$0.96B,38.4%,-7.7%,+19.5%,+24.5%,+84.1%,Q ending Mar 2026
CSCO,Cisco 시스코,Network,$474.63B,$15.84B,$3.37B,21.3%,$15.35B,$3.17B,20.7%,+31.6%,+52.4%,+60.1%,+95.4%,Q ending Apr 2026
MU,Micron 마이크론,Memory,$1.10T,$23.86B,$13.79B,57.8%,$13.64B,$5.24B,38.4%,+87.8%,+135.6%,+304.1%,+930.4%,Q ending Feb 2026
SNDK,SanDisk 샌디스크,Memory,$251.01B,$5.95B,$3.62B,60.8%,$3.02B,$0.80B,26.5%,+54.6%,+166.8%,+706.5%,+4397.2%,Q ending Mar 2026
NVDA,NVIDIA 엔비디아,Compute,$5.11T,$81.61B,$58.32B,71.5%,$68.13B,$42.96B,63.1%,+5.8%,+19.2%,+17.4%,+56.3%,Q ending Apr 2026
AMD,AMD,Compute,$841.55B,$10.25B,$1.38B,13.5%,$10.27B,$1.51B,14.7%,+45.6%,+157.8%,+134.8%,+366.1%,Q ending Mar 2026
INTC,Intel 인텔,Compute,$576.38B,$13.58B,$-3.73B,-27.5%,$13.67B,$-0.59B,-4.3%,+21.4%,+151.4%,+186.6%,+486.6%,Q ending Mar 2026
ARM,Arm Holdings 암홀딩스,Compute,$377.34B,$1.49B,$0.31B,21.0%,$1.24B,$0.22B,18.0%,+68.0%,+177.2%,+161.7%,+183.7%,Q ending Mar 2026
QCOM,Qualcomm 퀄컴,Compute,$264.58B,$10.60B,$7.37B,69.5%,$12.25B,$3.00B,24.5%,+39.8%,+77.5%,+51.1%,+76.9%,Q ending Mar 2026
STM,STMicro,Compute,$61.60B,$3.10B,$0.04B,1.2%,$3.33B,$-0.03B,-0.9%,+25.7%,+106.8%,+201.1%,+180.6%,Q ending Mar 2026
AVGO,Broadcom 브로드컴,Compute,$2.12T,$19.31B,$7.35B,38.1%,$18.02B,$8.52B,47.3%,+7.0%,+40.1%,+16.2%,+86.1%,Q ending Jan 2026
005930.KS,Samsung 삼성전자,Memory,$1.38T,$88.83B,$31.25B,35.2%,$62.26B,$12.80B,20.6%,+43.8%,+46.7%,+216.7%,+474.0%,Q ending Mar 2026
000660.KS,SK Hynix 하이닉스,Memory,$1.10T,$34.89B,$26.76B,76.7%,$21.78B,$10.10B,46.4%,+81.4%,+119.9%,+334.5%,+1045.6%,Q ending Mar 2026
